parentid,objectid,title,object_location,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb,image_alt_text,
,am250_001,North Carolina in the U.S. Revolution,https://www.ncpedia.org/history/usrevolution/overview,1775-1783,n,"Howard, Joshua",,An article giving an overview of events of the Revolutionary War in North Carolina,encyclopedia article,"North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","New Bern, North Carolina; Edenton, North Carolina; Massachusetts; Philadelphia, Pennsylvania; Monmouth, New Jersey; Augusta, Georgia; Savannah, Georgia; Stono Ferry, South Carolina; Charleston, South Carolina; Camden, South Carolina; Wilmington, North Carolina;  Hillsborough, North Carolina ",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about events of the Revolutionary War in North Carolina,65
,am250_002,American Revolution in North Carolina,https://www.ncpedia.org/american-revolution,1775-1783,n,"Davis, David K.; Lamm, Alan K.; Whittenburg, Carolyn Sparks",,A multi-part article about events of the American Revolution in North Carolina,encyclopedia article,"North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Lexington, Massachusetts; Concord, Massachusetts; Mecklenburg County, North Carolina; New Bern, North Carolina; Hillsborough, North Carolina; South Carolina; Pender County, North Carolina; Philadelphia, Pennsylvania; Halifax, North Carolina;  Georgia; Charleston, South Carolina; Camden, South Carolina; Charlotte, North Carolina;  Wilmington, North Carolina;Yorktown, Virginia",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about events of the American Revolution in North Carolina,67
,am250_003,American Revolution Battles in North Caroillna,,,,,,Articles about battles of the Ameridcan Revolution that occurred in North Carolina,,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783",North Carolina,,,,,,,,,,,,eng,,compound_object,,,Battles of the American Revolution that took place in North Carolina,68
am250_003,am250_004,Battle of Guilford Courthouse,https://www.ncpedia.org/history/usrevolution/guilford-courthouse,1781,n,"Howard, Joshua",,An article about the Battle of Guilford Courthouse in North Carolina,encyclopedia article,"Battles; Guilford Courthouse, Battle of, N.C., 1781; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Guilford Courthouse, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Guilford Courthouse,49
am250_003,am250_005,Battle of Moores Creek Bridge,https://www.ncpedia.org/battle-moores-creek-bridge-american,1776,n,"Howard, Joshua",,An article about the Battle of Moores Creek Bridge in North Carolina,encyclopedia article,"Battles; Moores Creek Bridge, Battle of, N.C., 1776; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Wilmington, North Carolina; Fayetteville, North Carolina; Elizabeth Town, North Carolina; Moores Creek Bridge, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Moores Creek Bridge,49
am250_003,am250_006,Battle of Ramsour's Mill,https://www.ncpedia.org/ramsours-mill-battle,1780,n,"Barefoot, Daniel W.",,An article about the Battle of Ramsour's Mill in North Carolina,encyclopedia article,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; Ramsour's Mill, Battle of, N.C., 1780; United States--History--Revolution, 1775-1783","LIncoln County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Ramsour's Mill,44
am250_003,am250_007,Battle of Wetzell's Mill,https://www.ncpedia.org/wetzells-mill-battle,1781,n,"Hairr, John",,An article about the Battle of Wetzell's Mill in North Carolina,encyclopedia article,"Battles; Guilford County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Guilford County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Wetzell's Mill,44
am250_003,am250_008,Battle of Alamance,https://www.ncpedia.org/alamance-battle,1771,n,"Troxler, George W.",,An article about the Battle of Alamance in North Carolina,encyclopedia article,"Alamance Creek, Battle of, N.C., 1771; Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Alamance County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Alamance,38
am250_003,am250_009,Battle of Clapp's Mill,https://www.ncpedia.org/clapps-mill-battle,1781,n,"Hill, Michael",,An article about the Battle of Clapp's Mill in North Carolina,encyclopedia article,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Alamance County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Clapp's Mill,42
am250_003,am250_010,Battle of King's Mountain,https://www.ncpedia.org/kings-mountain-battle,1780,n,"Yancey, Noel",,An article about the Battle of King's Mountain in North Carolina,encyclopedia article,"Battles; Kings Mountain, Battle of, N.C., 1780; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","King's Mountain, North Carolina; Old Fort, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of King's Mountain,45
am250_003,am250_011,Battle of Beaufort,https://www.ncpedia.org/beaufort-battle,1782,n,"Branch, Paul, Jr.",,An article about the Battle of Beaufort in North Carolina,encyclopedia article,"Battles; Beaufort (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Beaufort, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Beaufort,45
am250_003,am250_012,Battle of Bettis's Bridge (also called McPhaul's Mill),https://www.ncpedia.org/bettiss-bridge-battle,1781,n,"Butler, Lindley S.; McKinnon, Henry A., Jr.",,An article about the Battle of Bettis's Bridge in North Carolina,encyclopedia article,"Battles; Hoke County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Hoke County, North Carolina; Scotland County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Bettis's Bridge,49
am250_003,am250_013,Battle of Bruce's Cross Roads,https://www.ncpedia.org/bruces-cross-roads-battle,1781,n,"Barefoot, Daniel W.",,An article about the Battle of Bruce's Cross Roads in North Carolina,encyclopedia article,"Battles; Bruce Plantation (Guilford County, N.C.); North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Guilford County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Bruce's Cross Roads,49
am250_003,am250_014,Battle of Wahab's Plantation,https://www.ncpedia.org/wahabs-plantation-battle,1780,n,"Pope, David L.",,An article about the Battle of Wahab's Plantation in North and South Carolina,encyclopedia article,"Battles; Monroe (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Monroe, North Carolina; Lancaster, South Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Wahab's Plantation,48
am250_003,am250_015,Battle of Charlotte,https://www.ncpedia.org/charlotte-battle,1780,n,"Barefoot, Daniel W.; Norris David A.",,An article about the Battle of Charlotte in North Carolina,encyclopedia article,"Battles; Mecklenburg County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Charlotte, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Charlotte,39
am250_003,am250_016,Battle of Cowan's Ford,https://www.ncpedia.org/cowans-ford-battle,1781,n,"Cross, Jerry L.",,An article about the Battle of Cowan's Ford in North Carolina,encyclopedia article,"Battles; Cowan's Ford, Battle of, N.C., 1781; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Mecklenburg County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Cowan's Ford,42
am250_003,am250_017,Battle of Elizabethtown,https://www.ncpedia.org/elizabethtown-battle,1781,n,"Tetterton, Beverly",,An article about the Battle of Elizabethtown in North Carolina,encyclopedia article,"Battles; Elizabethtown, Battle of, N.C., 1781; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Elizabethtown, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Elizabethtown,43
am250_003,am250_018,Battle of Lindley's Mill,https://www.ncpedia.org/lindleys-mill-battle,1781,n,"Butler, Lindley S.",,An article about the Battle of Lindley's Mill in North Carolina,encyclopedia article,"Battles; Lindley's Mill, Battle of, N.C., 1781; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Alamance County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of LIndley's Mill,44
am250_003,am250_019,Battle of McIntyre's Farm,https://www.ncpedia.org/mcintyres-farm-battle,1780,n,"Norris, David A.",,An article about the Battle of McIntyre's Farm in North Carolina,encyclopedia article,"Battles; Mecklenburg County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Mecklenburg County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of McIntyre's Farm,45
am250_003,am250_020,Battle of New Garden,https://www.ncpedia.org/new-garden-battle,1781,n,"Butler, Lindley S.",,An article about the Battle of New Garden in North Carolina,encyclopedia article,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Mecklenburg County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of New Garden,40
am250_003,am250_021,Battle of Rockfish,https://www.ncpedia.org/rockfish-battle,1781,n,"Tetterton, Beverly",,An article about the Battle of Rockfish in North Carolina,encyclopedia article,"Battles; Duplin County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Wallace, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Rockfish,38
,am250_022,The Halifax Resolves,https://www.ncpedia.org/history/usrevolution/halifax-resolves,1776,n,,,An article about resolution made in Halifax by North Carolina's Fourth Provincial Congress,encyclopedia article,"Halifax (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Halifax, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Halifax Resolves,36
,am250_023,Creed of a Rioter,https://www.ncpedia.org/creed-rioter,1776,n,"Whichard, Willis P.",,"An article about a political essay title ""Creed of a RIoter"" written by James Iredell",encyclopedia article,"North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783",,,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the political essay titled Creed of a Rioter,60
,am250_024,Edenton Tea Party,https://www.ncpedia.org/edenton-tea-party-0,1774,n,"Wegner, Ansley Herring",,An article about a female led resolution to boycott British imports,encyclopedia article,"Edenton Tea Party, Edenton, NC, 1774; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Edenton, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Edenton Tea Party resolution made by women of the town,74
,am250_025,Committees of Safety,https://www.ncpedia.org/committees-safety,1774-1775,n,"Smith, Carmen Miner",,An article about the Committees of Safety set up in NC during the Revolutionary War,encyclopedia article,"Interim governments; Great Britain--Colonies--America--Administration; Great Britain--Colonies--America--History--18th century; North Carolina--Politics and government--1775-1783;North Carolina--Politics and government--To 1775; North Carolina--History--Revolution, 1775-1783; North Carolina--History--Colonial period, ca. 1600-1775",North Carolina,,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about North Carolina's Committees of Safety,53
,am250_026,"Chronicle of North Carolina during the American Revolution, 1763-1789",https://digital.ncdcr.gov/Documents/Detail/chronicle-of-north-carolina-during-the-american-revolution-1763-1789/3690023?item=4671599,1763-1789,n,"Crow, Jeffrey J.",,A brief overview of North Carolina in the American Revolution,booklet,"North Carolina--History--Revolution, 1775-1783--Chronology; United States--History--Revolution, 1775-1783",North Carolina,,,"North Carolina Office of Archives and History, Department of Natural and Cultural Resources",Library of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read more about events in North Carolina during the American Revolution,71
am250_003,am250_027,"Joseph Graham Papers, American Revolution, Battle of Ramsour's Mill",https://digital.ncdcr.gov/Documents/Detail/joseph-graham-papers-american-revolution-battle-of-ramsours-mill/426393?item=426394,1780,n,"Graham, Joseph",,"Papers of General Joseph Graham, an officer during the American War of Independence, state senator, iron manufacturer, and militia commander during the Creek Indian War of 1813-1814",personal papers,"North Carolina--History--Revolution, 1775-1783; United States--History--Revolution, 1775-1783; Cowan's Ford, Battle of, N.C., 1781; Great Britain--Colonies--America--History--18th century; North Carolina--Militia; United States--History--War of 1812; Horseshoe Bend, Battle of, Ala., 1814; Creek War, 1813-1814; African American prisoners; Creek Indians (Muscogees); Creek Indians; Muscogee Nation; North Carolina--History--1775-1865; African Americans","Lincoln County, North Carolina",,,Joseph Graham papers,State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read a first-hand account of the Battle of Ramsour's Mill,57
,am250_028,"North Carolina's history, culture & customs",https://digital.ncdcr.gov/Documents/Detail/north-carolinas-history-culture-customs./502024?item=633834,1770-1820,y,"North Carolina Learning Institute for FItness & Education, Inc.",,A publication with information ont he history of North Carolina and it's culture and customs,booklet,North Carolina--Social life and customs; North Carolina--History,North Carolina,,,Allosaurus Publishers,Library of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read a chapter of the book focusing on the American Revolution,62
,am250_029,Tar Heel Junior Historian: Early Days of the American Revolution,https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1971-september-v.11-no.1/3704555?item=4498094,1971,n,Tar Heel Junior Historian Association; North Carolina Museum of History,,An edition of the NC Tar Heel Junior Historian focused on the American Revolution,magazine,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals",North Carolina,,,"North Carolina Museum of History, Tar Heel Junior Historian Association",Library of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read articles in the September 1971 issue of the Tar Heel Junior Historian about the American Revolution,104
,am250_030,"""Observations on the War in Carolina"" by Colonel Robert Gray, officer of provincial troops",https://digital.ncdcr.gov/Documents/Detail/observations-on-the-war-in-carolina-by-colonel-robert-gray-officer-of-provincial-troops/422507?item=422508,,,"Gray, Robert",,"Documents pertaining to the Board of War established by the General Assembly with extensive powers over immediate supervision of all military operations within the state; ""Observations on the War in Carolina"" by Colonel Robert Gray, officer of the North Carolina provincial troops. Detailed report of happenings of troops and battles in North Carolina.",personal papers,"Great Britain--Colonies--America--History--18th century; Great Britain--Colonies--America--Administration; Revolutionary War, American, 1775-1783; North Carolina--History--1775-1865",North Carolina,,,"War of the Revolution Papers, Military Collection",State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,A report on battles of the American Revolution in North Carolina by Robert Gray,79
,am250_031,"Fifth Provincial Congress, Jounral",https://digital.ncdcr.gov/Documents/Detail/fifth-provincial-congress-journal/437144?item=437152,1776,n,North Carolina Provincial Congress,,"Journals, proclamations, resolutions, depositions, vouchers, receipts, certificates of election, and correspondence with delegates in Congress. ",journal,"Interim governments; Great Britain--Colonies--America--Administration; Great Britain--Colonies--America--History--18th century; North Carolina--Politics and government--1775-1783;North Carolina--Politics and government--To 1775; North Carolina--History--Revolution, 1775-1783; North Carolina--History--Colonial period, ca. 1600-1775","Halifax, North Carolina",,,North Carolina Provincial Congress,State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,am250_032,pdf,,,Read the journal of the fifth Provincial Congress held in Halifax in November 1776,82
,am250_032,"Provincial Congress, Halifax, April 1776, Journal",https://digital.ncdcr.gov/Documents/Detail/provincial-congress-halifax-april-1776-journal/439628?item=439642,1776,n,North Carolina Provincial Congress,,"Journals, proclamations, resolutions, depositions, vouchers, receipts, certificates of election, and correspondence with delegates in Congress. ",journal,"Interim governments; Great Britain--Colonies--America--Administration; Great Britain--Colonies--America--History--18th century; North Carolina--Politics and government--1775-1783;North Carolina--Politics and government--To 1775; North Carolina--History--Revolution, 1775-1783; North Carolina--History--Colonial period, ca. 1600-1775","Hillsborough, North Carolina",,,North Carolina Provincial Congress,State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,am250_031,pdf,,,Read the journal of the Provincial Congress held in Halifax in April 1776,73
,am250_033,North Carolina's signers: brief sketches of the men who signed the Declaration of Independence and the Constitution,https://digital.ncdcr.gov/Documents/Detail/north-carolinas-signers-brief-sketches-of-the-men-who-signed-the-declaration-of-independence-and-the-constitution/3692108?item=5251481,1776,n,"Mitchell, Memory F.",,Booklet about the signers of the U.S. Constitution from North Carolina,booklet,North Carolina--Biography; Statesmen--North Carolina--Biography; United States. Constitution--Signers--Biography; United States. Declaration of Independence--Signers--Biography,"Halifax, North Carolina; Philadelphia, Pennsylvania; Edenton, North Carolina; Hillsborough, North Carolina; Boston, Massachusetts; Wilmington, North Carolina",,,"North Carolina Office of Archives and History, Department of Natural and Cultural Resources",State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read a booklet about signers of the U.S. Constitution from North Carolina,73
,am250_034,United States Constitution Ratification Letter from 1789 Convention President,https://digital.ncdcr.gov/Documents/Detail/united-states-constitution-ratification-letter-from-1789-convention-president/444215?item=444221,1789,n,"Johnston, Samuel",,"A letter from Samuel Johnston, president of the NC Convention of 1788, ratifying the U.S. Constitution",letter,"Constitutions--United States; Constitutional conventions--United States; United States--Politics and government, 1783-1809; United States--History--Confederation, 1783-1789; North Carolina--Politics and government--1775-1865; North Carolina--History--1775-1865","Fayetteville, North Carolina",,,"Johnston, Samuel",State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read the letter sent notifying of the North Carolina ratification of the U.S. Constitution,90
,am250_035,"Recruiting Instructions, 1777",https://digital.ncdcr.gov/Documents/Detail/recruiting-instructions-1777/422793,1777,n,"Murfree, Hardy","Rolston, Isaac",Instructions for recruiting soldiers to the American Continental Army,instructions,"Great Britain--Colonies--America--History--18th century; Great Britain--Colonies--America--Administration; Revolutionary War, American, 1775-1783; North Carolina--History--1775-1865","New Bern, North Carolina",,,"War of the Revolution Papers, Military Collection",State Archives of North Carolina,,,,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,text/html,eng,,pdf,,,Read the recruiting instructions to be used for finding soldiers for the Continental Army,89
